NAME ,Latitude,Longitude,Altitude,dx,dy
Albany Park,41.975456,-87.71409,0,2,2
Altgeld,41.65473022,-87.60223026,0,2,2
Archer Heights,41.80121366,-87.72649071,0,2,2
Austin,41.88927215,-87.76571187,0,2,2
Austin-Irving,41.9531739,-87.77938682,0,2,2
Avalon,41.74671722,-87.58539659,0,2,2
Back of the Yards,41.80838442,-87.67756964,0,2,2
Beverly,41.72118051,-87.67194646,0,2,2
Bezazian,41.97168195,-87.66073027,0,2,2
Blackstone,41.80584031,-87.58934182,0,2,2
Brainerd,41.73231676,-87.65723452,0,2,2
Brighton Park,41.81513879,-87.70265432,0,2,2
Bucktown-Wicker Park,41.9127224,-87.6805873,0,2,2
Budlong Woods,41.98457226,-87.69773449,0,2,2
Canaryville,41.81550568,-87.64250101,0,2,2
Chicago Bee,41.82842687,-87.62640222,0,2,2
Chicago Lawn,41.78180788,-87.70326162,0,2,2
Chinatown,41.85412074,-87.63195792,0,2,2
Clearing,41.77678206,-87.78181979,0,2,2
Coleman,41.78037301,-87.60715724,0,2,2
Daley,41.83228703,-87.64648501,0,2,2
Richard M.-W Humboldt,41.8943707,-87.7064607,0,2,2
Douglass,41.86450076,-87.70968549,0,2,2
Dunning,41.943308,-87.817497,0,2,2
Edgebrook,41.99697088,-87.76204789,0,2,2
Edgewater,41.990996,-87.660757,0,2,2
Gage Park,41.79369723,-87.69404645,0,2,2
Galewood-Mont Clare,41.92111472,-87.79724102,0,2,2
Garfield Ridge,41.79298666,-87.78013326,0,2,2
Greater Grand Crossing,41.7623,-87.6005,0,2,2
Hall,41.80743298,-87.62273982,0,2,2
Harold Washington-HWLC,41.87629985,-87.6281928,0,2,2
Hegewisch,41.65917887,-87.54824133,0,2,2
Humboldt Park,41.910328,-87.705427,0,2,2
Independence,41.95390372,-87.71694255,0,2,2
Jefferson Park,41.96759739,-87.76155426,0,2,2
Jeffery Manor,41.71326176,-87.56549207,0,2,2
Kelly,41.78217163,-87.63740787,0,2,2
King,41.8318014,-87.61776067,0,2,2
Legler,41.87933866,-87.72556035,0,2,2
Lincoln Belmont,41.9403136,-87.67075771,0,2,2
Lincoln Park,41.92559169,-87.65811325,0,2,2
Little Village,41.8495331,-87.7051215,0,2,2
Logan Square,41.9250521,-87.70339411,0,2,2
Lozano,41.85752201,-87.66093712,0,2,2
Manning,41.8811857,-87.67914211,0,2,2
Mayfair,41.96835446,-87.7381619,0,2,2
McKinley Park,41.8304475,-87.67339165,0,2,2
Merlo,41.94008421,-87.64614323,0,2,2
Mount Greenwood,41.6929191,-87.70103789,0,2,2
Near North,41.90386939,-87.6364898,0,2,2
North Austin,41.9094292,-87.76879899,0,2,2
North Pulaski,41.91004242,-87.73392609,0,2,2
Northtown,41.99833903,-87.69965005,0,2,2
Oriole Park,41.97796114,-87.81320911,0,2,2
Portage-Cragin,41.93877675,-87.75449294,0,2,2
Pullman,41.69440641,-87.61826066,0,2,2
Roden,41.99191752,-87.7983019,0,2,2
Rogers Park,42.00670764,-87.67340767,0,2,2
Roosevelt,41.86927615,-87.65447998,0,2,2
Scottsdale,41.74936168,-87.72439558,0,2,2
Sherman Park,41.79527942,-87.65492072,0,2,2
South Chicago,41.73057483,-87.54980694,0,2,2
South Shore,41.76155536,-87.56208364,0,2,2
Sulzer Regional,41.96240358,-87.68441685,0,2,2
Thurgood Marshall,41.75780175,-87.65398155,0,2,2
Toman,41.84205367,-87.72496884,0,2,2
Uptown,41.95844521,-87.65351012,0,2,2
Vodak-East Side,41.70302748,-87.53350318,0,2,2
Walker,41.69244169,-87.67413287,0,2,2
Water Works,41.89758435,-87.62314877,0,2,2
West Belmont,41.93666212,-87.78589145,0,2,2
West Chicago Avenue,41.89504651,-87.74732954,0,2,2
West Englewood,41.77933436,-87.66812159,0,2,2
West Lawn,41.77866222,-87.72353857,0,2,2
West Pullman,41.67785087,-87.64299968,0,2,2
West Town,41.89575219,-87.66826659,0,2,2
Whitney M. Young Jr,41.75106361,-87.61495065,0,2,2
Woodson Regional,41.72093481,-87.64309395,0,2,2
Wrightwood-Ashburn,41.738324,-87.70213011,0,2,2
